level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	4	1	13	0	372	296	37	13	-1	
5	1	4	1	13	1	372	296	37	13	95.953819	0.8%
4	1	4	1	14	0	372	320	37	13	-1	
5	1	4	1	14	1	372	320	37	13	96.425812	0.9%
4	1	4	1	15	0	372	345	37	13	-1	
5	1	4	1	15	1	372	345	37	13	95.953819	0.8%
4	1	4	1	16	0	373	369	36	13	-1	
5	1	4	1	16	1	373	369	36	13	90.940735	1.0%
4	1	4	1	17	0	372	394	37	13	-1	
5	1	4	1	17	1	372	394	37	13	95.953819	0.8%
4	1	4	1	18	0	372	417	37	13	-1	
5	1	4	1	18	1	372	417	37	13	95.953819	0.8%
4	1	4	1	19	0	372	442	37	13	-1	
5	1	4	1	19	1	372	442	37	13	92.861145	2.5%
4	1	4	1	20	0	373	466	36	13	-1	
5	1	4	1	20	1	373	466	36	13	90.940735	1.0%
4	1	4	1	21	0	372	491	37	13	-1	
5	1	4	1	21	1	372	491	37	13	94.450104	24%
4	1	4	1	22	0	369	515	40	13	-1	
5	1	4	1	22	1	369	515	40	13	94.731758	1.1%
2	1	5	0	0	0	449	5	40	523	-1	
3	1	5	1	0	0	449	5	40	523	-1	
4	1	5	1	1	0	452	5	37	13	-1	
5	1	5	1	1	1	452	5	37	13	96.047752	0.7%
4	1	5	1	2	0	452	29	37	13	-1	
5	1	5	1	2	1	452	29	37	13	96.358131	0.8%
4	1	5	1	3	0	452	53	37	13	-1	
5	1	5	1	3	1	452	53	37	13	96.047752	0.7%
4	1	5	1	4	0	452	77	37	13	-1	
5	1	5	1	4	1	452	77	37	13	96.358131	0.8%
4	1	5	1	5	0	452	102	37	13	-1	
5	1	5	1	5	1	452	102	37	13	95.324043	0.6%
4	1	5	1	6	0	452	126	37	13	-1	
5	1	5	1	6	1	452	126	37	13	96.330368	0.5%
4	1	5	1	7	0	452	151	37	13	-1	
5	1	5	1	7	1	452	151	37	13	96.530914	0.9%
4	1	5	1	8	0	452	174	37	13	-1	
5	1	5	1	8	1	452	174	37	13	94.109116	24%
4	1	5	1	9	0	449	199	40	13	-1	
5	1	5	1	9	1	449	199	40	13	87.629555	1.0%
4	1	5	1	10	0	452	223	37	13	-1	
5	1	5	1	10	1	452	223	37	13	96.530914	0.9%
4	1	5	1	11	0	452	248	37	13	-1	
5	1	5	1	11	1	452	248	37	13	91.362511	2.1%
4	1	5	1	12	0	452	272	37	13	-1	
5	1	5	1	12	1	452	272	37	13	96.047752	0.7%
4	1	5	1	13	0	452	296	37	13	-1	
5	1	5	1	13	1	452	296	37	13	96.047752	0.7%
4	1	5	1	14	0	452	320	37	13	-1	
5	1	5	1	14	1	452	320	37	13	96.358131	0.8%
4	1	5	1	15	0	453	345	36	13	-1	
5	1	5	1	15	1	453	345	36	13	92.210617	1.0%
4	1	5	1	16	0	452	369	37	13	-1	
5	1	5	1	16	1	452	369	37	13	96.358131	0.8%
4	1	5	1	17	0	452	394	37	13	-1	
5	1	5	1	17	1	452	394	37	13	96.375542	0.8%
4	1	5	1	18	0	452	417	37	13	-1	
5	1	5	1	18	1	452	417	37	13	96.358131	0.8%
4	1	5	1	19	0	453	442	36	13	-1	
5	1	5	1	19	1	453	442	36	13	93.153267	1.3%
4	1	5	1	20	0	452	466	37	13	-1	
5	1	5	1	20	1	452	466	37	13	96.358131	0.8%
4	1	5	1	21	0	453	491	36	13	-1	
5	1	5	1	21	1	453	491	36	13	93.153267	1.3%
4	1	5	1	22	0	449	515	40	13	-1	
5	1	5	1	22	1	449	515	40	13	93.641983	1.1%
2	1	6	0	0	0	564	5	40	523	-1	
3	1	6	1	0	0	564	5	40	523	-1	
4	1	6	1	1	0	567	5	37	13	-1	
5	1	6	1	1	1	567	5	37	13	89.944389	0.4%
4	1	6	1	2	0	567	29	37	13	-1	
5	1	6	1	2	1	567	29	37	13	94.560379	0.3%
